
result: name0229 ---> mIoU=90.7215%, MSE=0.0093, mAcc=0.4523%, time=0.0070s
result: name0230 ---> mIoU=89.1971%, MSE=0.0317, mAcc=0.6357%, time=0.0070s
result: name0231 ---> mIoU=90.7225%, MSE=0.0040, mAcc=0.1764%, time=0.0060s
result: name0232 ---> mIoU=89.2098%, MSE=0.0059, mAcc=0.7015%, time=0.0070s
result: name0233 ---> mIoU=59.0286%, MSE=0.0044, mAcc=0.3429%, time=0.0060s
result: name0234 ---> mIoU=29.5359%, MSE=0.0093, mAcc=0.0895%, time=0.0050s
result: name0235 ---> mIoU=60.9413%, MSE=0.0691, mAcc=0.4396%, time=0.0060s
result: name0236 ---> mIoU=64.2191%, MSE=0.0087, mAcc=0.2402%, time=0.0060s
result: name0237 ---> mIoU=84.3768%, MSE=0.0021, mAcc=0.3474%, time=0.0070s
result: name0238 ---> mIoU=59.0655%, MSE=0.2967, mAcc=0.3891%, time=0.0070s
result: name0239 ---> mIoU=59.2611%, MSE=0.0116, mAcc=0.2445%, time=0.0060s
result: name0240 ---> mIoU=84.7435%, MSE=0.0084, mAcc=0.3052%, time=0.0060s
result: name0241 ---> mIoU=92.0878%, MSE=0.0017, mAcc=0.4271%, time=0.0060s
result: name0242 ---> mIoU=91.5994%, MSE=0.0015, mAcc=0.2533%, time=0.0050s
result: name0243 ---> mIoU=89.3116%, MSE=0.0441, mAcc=0.4531%, time=0.0070s
result: name0244 ---> mIoU=71.5302%, MSE=0.0084, mAcc=0.2519%, time=0.0060s
result: name0245 ---> mIoU=75.1433%, MSE=0.0058, mAcc=0.4332%, time=0.0060s
result: name0246 ---> mIoU=81.0913%, MSE=0.0121, mAcc=0.2749%, time=0.0060s
result: name0247 ---> mIoU=85.9691%, MSE=0.0011, mAcc=0.3941%, time=0.0060s
result: name0248 ---> mIoU=67.7938%, MSE=0.0221, mAcc=0.2315%, time=0.0060s
result: name0249 ---> mIoU=77.2472%, MSE=0.0086, mAcc=0.7286%, time=0.0070s
result: name0250 ---> mIoU=65.8888%, MSE=0.0053, mAcc=0.3161%, time=0.0060s
result: name0251 ---> mIoU=84.8285%, MSE=0.0096, mAcc=0.2876%, time=0.0070s
